total_len,psh_rate,up_down_num_rate,up_time_min,down_time_min,up_len_sum,up_len_max,up_len_mean,down_len_max,down_len_mean,label
3242,0.5,1,0.23097086,0.23097086,281,161,40.14285714,577,423,1
2048,0.5,1,0.421821117,0.421445847,241,161,48.2,577,361.4,1
2645,0.5,1,0.46013093,0.459704876,261,161,43.5,577,397.3333333,1
1368,0.5,1,0.392863989,0.39248395,563,161,80.42857143,577,115,1
1451,0.5,1,0.394255877,0.393820047,221,161,55.25,577,307.5,1
3714,0.5,1,0.222089052,0.222088099,120,20,20,643,599,1
4096,0.5,1,0.337473154,0.337455034,482,161,48.2,577,361.4,1
2902,0.5,1,0.392388105,0.391927004,442,161,55.25,577,307.5,1
1708,0.5,1,0.395139933,0.394701004,402,161,67,577,217.6666667,1
2985,0.5,1,0.684102058,0.684102058,100,20,20,577,577,1
1451,0.5,1,0.42592907,0.425500154,221,161,55.25,577,307.5,1
2305,0.5,1,0.396556139,0.396023989,422,161,60.28571429,577,269,1
2819,0.5,1,0.39221096,0.391781092,784,161,71.27272727,577,185,1
1451,0.5,1,0.407011986,0.40660882,221,161,55.25,577,307.5,1
2388,0.5,1,0.835015059,0.835016012,80,20,20,577,577,1
1451,0.5,1,0.423918009,0.423568964,221,161,55.25,577,307.5,1
2968,0.5,1,0.393787146,0.393414021,442,161,55.25,643,315.75,1
2711,0.5,1,0.190793991,0.190801144,261,161,43.5,643,408.3333333,1
2388,0.5,1,3.572492123,3.572522879,80,20,20,577,577,1
2902,0.5,1,0.394480944,0.394072056,442,161,55.25,577,307.5,1
1326,0.5,1,9.271714926,9.271728992,40,20,20,643,643,1
2305,0.5,1,0.332732916,0.332728148,422,161,60.28571429,577,269,1
2902,0.5,1,0.393762112,0.392971992,442,161,55.25,577,307.5,1
2388,0.5,1,2.081179857,2.081176043,80,20,20,577,577,1
1708,0.5,1,0.403939962,0.403395176,402,161,67,577,217.6666667,1
1451,0.5,1,0.394417048,0.394046783,221,161,55.25,577,307.5,1
2645,0.5,1,0.186499119,0.186506987,261,161,43.5,577,397.3333333,1
854,0.5,1,0.4004879,0.400004148,201,161,67,577,217.6666667,1
4568,0.5,1,0.189600945,0.18960619,321,161,35.66666667,643,471.8888889,1
2645,0.5,1,0.010434866,0.010931969,261,161,43.5,577,397.3333333,1
3582,0.5,1,0.87115407,0.871129036,120,20,20,577,577,1
2645,0.5,1,0.090538025,0.091023922,261,161,43.5,577,397.3333333,1
1965,0.5,1,0.210238934,0.210702896,583,161,72.875,577,172.75,1
5630,0.5,1,0.401155949,0.400763035,361,161,32.81818182,577,479,1
3937,0.5,1,0.148927212,0.148821115,804,161,67,577,261.0833333,1
2041,0.5,1,0.164447784,0.16496706,603,161,67,577,159.7777778,1
2454,0.5,1,1.400182009,1.400202036,80,20,20,643,593.5,1
3117,0.5,1,0.744318008,0.744318008,100,20,20,643,603.4,1
2985,0.5,1,1.986714125,1.986712933,100,20,20,577,577,1
2305,0.5,1,0.397819996,0.397322893,422,161,60.28571429,577,269,1
3242,0.5,1,0.068728924,0.069133043,281,161,40.14285714,577,423,1
2985,0.5,1,0.865383863,0.86538291,100,20,20,577,577,1
2388,0.5,1,0.851815939,0.851819038,80,20,20,577,577,1
2048,0.5,1,0.362698793,0.363138199,241,161,48.2,577,361.4,1
3159,0.5,1,0.192471027,0.192452908,623,161,62.3,577,253.6,1
1791,0.5,1,3.354640007,3.354654074,60,20,20,577,577,1
1451,0.5,1,0.396572828,0.396130085,221,161,55.25,577,307.5,1
2388,0.5,1,1.367038965,1.367043018,80,20,20,577,577,1
4179,0.5,1,0.386670113,0.386697054,140,20,20,577,577,1
2305,0.5,1,0.017847061,0.017715931,422,161,60.28571429,577,269,1
