ip1,ip2,port1,port2,total_num,total_len,flow_time,psh_rate,up_down_len_rate,up_down_num_rate,flow_pkts_rate,flow_bytes_rate,up_time_max,up_time_min,up_time_mean,down_time_max,down_time_min,down_time_mean,up_len_sum,up_len_max,up_len_min,up_len_mean,down_len_sum,down_len_max,down_len_min,down_len_mean,label
107.174.170.252,192.168.23.177,3333,43896,10,1111,14.9808979,0.5,0.524005487,1,0.667516731,74.16110884,7.238948107,0.399576902,3.745215237,7.239388943,0.399101973,3.745214224,382,161,20,76.4,729,577,20,145.8,1
192.168.23.177,107.174.170.252,43896,3333,16,1028,11.59054112,0.5,2.381578947,1,1.38043598,88.69301174,9.816533089,0.083637953,1.655791589,9.816984892,0.083176136,1.655749559,724,161,20,90.5,304,56,20,38,1
107.174.170.252,192.168.23.177,3333,43896,20,3225,14.29739404,0.5,0.239431207,1,1.398856319,225.5655815,6.039352894,0.167082071,1.588594675,6.03935194,0.166716099,1.588594649,623,161,20,62.3,2602,643,20,260.2,1
107.174.170.252,192.168.23.177,3333,43896,4,1194,12.62361097,0.5,0.034662045,1,0.316866545,94.58466381,12.62357616,12.62357616,12.62357616,12.62357378,12.62357378,12.62357378,40,20,20,20,1154,577,577,577,1
192.168.23.177,107.174.170.252,43896,3333,18,2562,11.87285805,0.5,0.307810107,1,1.516062933,215.7862909,8.636986017,0.332896948,1.484107256,8.637343168,0.332903862,1.484053999,603,161,20,67,1959,577,20,217.6666667,1
107.174.170.252,192.168.23.177,3333,43896,14,2305,13.15359712,0.5,0.224110462,1,1.064347636,175.2372358,7.192232132,0.393261909,2.192259828,7.192283869,0.392785072,2.192254861,422,161,20,60.28571429,1883,577,20,269,1
107.174.170.252,192.168.23.177,3333,43896,10,2064,5.240257978,0.5,0.132199671,1,1.908302996,393.8737384,3.848420143,0.103288889,1.310056031,3.848406076,0.102929831,1.310050726,241,161,20,48.2,1823,577,20,364.6,1
107.174.170.252,192.168.23.177,3333,43896,18,3946,6.807470083,0.5,0.088551724,1,2.64415411,579.6573399,2.56034112,0.18937397,0.850920767,2.560350895,0.18938303,0.850929379,321,161,20,35.66666667,3625,577,20,402.7777778,1
107.174.170.252,192.168.23.177,3333,43896,14,4179,14.0393281,0.5,0.034662045,1,0.997198719,297.6638177,5.328783989,0.631790876,2.339874506,5.329064131,0.63151288,2.339881857,140,20,20,20,4039,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,10,2985,13.47617912,0.5,0.034662045,1,0.742050095,221.5019534,7.052936077,1.072133064,3.369030297,7.052937031,1.072149038,3.369029999,100,20,20,20,2885,577,577,577,1
